2022-07-14 09:31:06,122 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-07-14 09:31:06,144 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-07-14 09:31:06,145 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-07-14 09:31:06,145 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-07-14 09:31:06,147 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-07-14 09:31:06,147 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-07-14 09:31:06,148 INFO  SwAddin.cs: 201 - Setting up command manager
2022-07-14 09:31:06,148 INFO  SwAddin.cs: 204 - Adding command manager
2022-07-14 09:31:06,150 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-07-14 09:31:06,152 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-07-14 09:31:06,152 INFO  SwAddin.cs: 210 - Adding event handlers
2022-07-14 09:31:06,154 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-07-14 09:54:55,642 INFO  SwAddin.cs: 294 - Assembly export called for file VKISTBOT
2022-07-14 09:54:55,650 INFO  SwAddin.cs: 299 - Save is required
2022-07-14 09:54:55,651 INFO  SwAddin.cs: 313 - Saving assembly
2022-07-14 09:54:58,036 INFO  SwAddin.cs: 316 - Opening property manager
2022-07-14 09:54:58,152 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VKISTBOT
2022-07-14 09:54:58,160 INFO  ExportHelperExtension.cs: 1136 - Found 35 in VKISTBOT
2022-07-14 09:54:58,162 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in VKISTBOT
2022-07-14 09:54:58,163 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-07-14 09:54:58,166 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-07-14 09:54:58,167 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VKIST_TotalBaseModule_03Dec2021.stp-1
2022-07-14 09:54:58,168 INFO  ExportHelperExtension.cs: 1136 - Found 193 in VKIST_TotalBaseModule_03Dec2021.stp-1
2022-07-14 09:54:58,169 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in VKIST_TotalBaseModule_03Dec2021.stp-1
2022-07-14 09:54:58,170 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from VKISTBOT
2022-07-14 09:54:58,170 INFO  ExportHelperExtension.cs: 1136 - Found 35 in VKISTBOT
